country,id,ppp1990,ppp1995,ppp2000,ppp2005,le1990,le1995,le2000,le2005,cal1990,cal1995,cal2000,cal2005
Brazil,76,6467.585197,7843.461236,8730.656237,10547.09695,66.515,68.48273171,70.25739024,71.71853659,2760,2840,2910,3120
Brunei Darussalam,96,49865.55029,57215.7402,59030.6888,66277.21454,73.7164878,74.92970732,76.03095122,77.03268293,2730,2850,2910,2980
Bulgaria,100,5409.571159,5543.374017,6445.299853,9947.105862,71.64146341,71.05341463,71.66341463,72.56097561,3070,2770,2790,2760
Burkina Faso,854,548.3702934,654.3529395,855.6800333,1131.845658,49.36560976,49.34431707,50.4827561,52.65870732,2460,2530,2530,2690
Burundi,108,679.6617224,609.3980229,573.214749,615.9445436,47.32914634,46.60729268,48.20802439,50.007,1860,1710,1680,1680
Cambodia,116,691.151,796.2013891,1084.327774,1742.010893,54.753,57.75165854,61.88726829,67.04312195,1870,1850,2070,2180
Cameroon,120,1791.002776,1596.519358,1905.361383,2254.717502,53.59126829,53.21860976,51.93587805,51.88904878,2020,2020,2160,2240
Canada,124,20019.81127,23263.13523,29075.94542,35973.49151,77.37707317,77.97756098,79.23658537,80.29268293,3050,3280,3520,3530
Central African Republic,140,504.4387643,531.2377382,555.4557223,627.7045782,46.04782927,44.14878049,43.69231707,44.99592683,1880,1850,1910,1960
Chad,148,719.0504269,761.8140129,791.147998,1605.119743,46.34858537,46.43329268,46.68717073,47.67156098,1700,1790,1940,2010
Chile,152,4382.942651,7213.443263,9667.902642,12773.41837,73.54514634,74.98660976,76.75856098,78.13721951,2600,2740,2840,2960
China,156,962.8049241,1824.335254,2860.834412,4956.948283,69.47156098,70.32917073,72.14073171,74.05390244,2580,2840,2920,2990
Colombia,170,5015.065392,6307.312059,6668.813813,8267.233113,68.29719512,69.42692683,70.98721951,72.26060976,2410,2580,2650,2690
Comoros,174,996.4492667,1033.643107,1064.408592,1287.850727,55.59941463,56.70980488,57.87943902,59.05239024,1900,1810,1750,1840
Costa Rica,188,4744.222547,6199.22597,7581.24259,9463.824011,75.72668293,76.76760976,77.7344878,78.44602439,2820,2750,2820,2820
Cote d'Ivoire,384,2092.157739,2163.186273,2416.892315,2517.662933,52.60892683,49.59665854,46.45390244,47.23229268,2470,2430,2440,2500
Croatia,191,8014.61,8118.56678,11057.36042,15535.492,72.1704878,72.08439024,72.80780488,75.24463415,2420,2540,2670,2990
Cuba,192,8755.052813,6642.130812,8841.254717,12515.65905,74.64429268,75.411,76.66895122,77.70690244,2720,2450,3110,3420
Cyprus,196,12320.95587,15440.11182,19448.69747,24408.22802,76.51395122,77.27465854,77.97165854,78.60119512,3120,3230,3200,3190
Czech Republic,203,12731.22535,13821.88149,16286.82095,22286.45719,71.38390244,73.07487805,74.96829268,75.92439024,3080,3250,3160,3280
Denmark,208,18795.2983,23379.11811,29566.18624,34079.95976,74.80536585,75.21268293,76.59268293,77.84390244,3220,3340,3370,3410
Djibouti,262,1973.054445,1689.394777,1647.48661,1994.15203,56.66317073,57.05341463,57.01034146,57.98129268,1720,1860,2030,2300
Dominica,212,4309.128928,5215.981145,6413.060084,7802.708806,72.957317,74.9512195,76.27439,76.59756098,3000,2980,3090,3090
