FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
,,0,1397967,6%,0.056893895,8241638,144859796,1397967,
,Management,1,146465,5%,0.04586701,657120,14326637,146465,
,Business and Financial Operations,1,69769,4%,0.042133303,294640,6993043,69769,
,Computer and Mathematical,1,37996,4%,0.03659317,142105,3883375,37996,
,Architecture and Engineering,1,27337,4%,0.037519635,100369,2675106,27337,
,"Life, Physical, and Social Science",1,13112,4%,0.038427773,47843,1245011,13112,
,Community and Social Services,1,24452,6%,0.063569936,151437,2382211,24452,
,Legal,1,17519,4%,0.042512064,71696,1686486,17519,
,"Education, Training, and Library",1,93108,4%,0.043677477,384616,8805820,93108,
,"Arts, Design, Entertainment, Sports, and Media",1,27331,5%,0.047181678,131167,2780041,27331,
,Healthcare Practitioners and Technical,1,82381,4%,0.041331607,336397,8138977,82381,
,Healthcare Support,1,33966,6%,0.06327079,237879,3759697,33966,
,Protective Service,1,30667,6%,0.058674846,187031,3187584,30667,
,Food Preparation and Serving Related,1,66927,6%,0.059735949,481215,8055702,66927,
,"Building and Grounds, Cleaning and Maintenance",1,51320,9%,0.089528031,518587,5792454,51320,
,Personal Care and Service,1,49492,7%,0.071351102,379133,5313625,49492,
,Sales and Related,1,142461,5%,0.054310955,835491,15383471,142461,
,Office and Administrative Support,1,190799,6%,0.060588769,1170403,19317161,190799,
,"Farming, Fishing, and Forestry",1,9928,7%,0.065048492,65690,1009862,9928,
,Construction and Extraction,1,64778,6%,0.057640362,417387,7241228,64778,
,"Installation, Maintenance, and Repair",1,45779,7%,0.067082257,317642,4735112,45779,
,"Production",1,83545,7%,0.071888938,626364,8712940,83545,
,Transportation and Material Moving,1,83226,7%,0.07451102,663072,8898979,83226,
,Military Specific,1,5609,5%,0.045498193,24354,535274,5609,
1,,2,19117,7%,0.066263152,132861,2005051,19117,AL
2,,2,2918,7%,0.069012401,25582,370687,2918,AK
4,,2,26822,5%,0.054987698,153051,2783368,26822,AZ
5,,2,11785,7%,0.071929683,88954,1236680,11785,AR
6,,2,162910,4%,0.044273221,761564,17201459,162910,CA
8,,2,25225,6%,0.057807199,150818,2608983,25225,CO
9,,2,17496,5%,0.051488644,90834,1764156,17496,CT
10,,2,3938,6%,0.0625174,26274,420267,3938,DE
11,,2,3380,4%,0.044093008,14685,333046,3380,DC
12,,2,80848,5%,0.052184479,442274,8475202,80848,FL
13,,2,41144,6%,0.05703211,249675,4377797,41144,GA
15,,2,6809,5%,0.047543335,32952,693094,6809,HI
16,,2,6656,6%,0.064950024,45844,705835,6656,ID
17,,2,59156,5%,0.05184463,313602,6048881,59156,IL
18,,2,29681,7%,0.0668236,199988,2992775,29681,IN
19,,2,15321,6%,0.063369301,96930,1529605,15321,IA
20,,2,13588,6%,0.063211285,88036,1392726,13588,KS
21,,2,18837,7%,0.071545657,134956,1886292,18837,KY
22,,2,18901,7%,0.068854509,138789,2015685,18901,LA
23,,2,5937,7%,0.073866671,47434,642157,5937,ME
24,,2,29274,5%,0.051665965,154812,2996402,29274,MD
25,,2,33887,5%,0.048178961,161986,3362173,33887,MA
26,,2,42273,6%,0.062867186,272283,4331083,42273,MI
27,,2,27279,5%,0.054942555,152887,2782670,27279,MN
28,,2,11373,8%,0.075406033,90503,1200209,11373,MS
29,,2,27406,6%,0.062657277,175141,2795222,27406,MO
30,,2,4625,7%,0.069005528,32531,471426,4625,MT
31,,2,9339,6%,0.056095531,53703,957349,9339,NE
32,,2,11818,7%,0.070139095,88199,1257487,11818,NV
33,,2,6823,6%,0.059172212,40449,683581,6823,NH
34,,2,41478,5%,0.046879642,197889,4221214,41478,NJ
35,,2,7669,8%,0.079414361,68474,862237,7669,NM
36,,2,89169,5%,0.046111432,422713,9167206,89169,NY
37,,2,42334,6%,0.058784758,258999,4405887,42334,NC
38,,2,3702,6%,0.056817577,22418,394561,3702,ND
39,,2,53123,6%,0.062209014,330528,5313185,53123,OH
40,,2,15636,8%,0.0798981,138093,1728364,15636,OK
41,,2,17113,7%,0.069890122,123703,1769964,17113,OR
42,,2,58720,6%,0.057354687,339337,5916465,58720,PA
44,,2,5221,5%,0.053305982,27623,518197,5221,RI
45,,2,19975,6%,0.064611805,135108,2091073,19975,SC
46,,2,4135,8%,0.079152318,33925,428604,4135,SD
47,,2,27950,7%,0.068805092,197468,2869962,27950,TN
48,,2,112209,6%,0.060712433,731345,12046050,112209,TX
49,,2,12408,6%,0.055652237,72401,1300954,12408,UT
50,,2,3209,6%,0.064101266,20261,316078,3209,VT
51,,2,39818,5%,0.050358536,203963,4050217,39818,VA
53,,2,31313,6%,0.061955277,202445,3267599,31313,WA
54,,2,7236,8%,0.080979516,61221,756006,7236,WV
55,,2,28160,6%,0.061654543,174048,2822955,28160,WI
56,,2,2823,8%,0.075698563,22079,291670,2823,WY
1,Management,3,1740,5%,0.053097946,9390,176843,1740,AL
1,Business and Financial Operations,3,762,5%,0.050299836,3741,74374,762,AL
1,Computer and Mathematical,3,365,5%,0.047204229,1902,40293,365,AL
1,Architecture and Engineering,3,440,4%,0.044405797,1915,43125,440,AL
1,"Life, Physical, and Social Science",3,121,5%,0.04899876,553,11286,121,AL
1,Community and Social Services,3,350,3%,0.025262705,940,37209,350,AL
1,Legal,3,194,4%,0.036335368,631,17366,194,AL
1,"Education, Training, and Library",3,1287,5%,0.050328228,6325,125675,1287,AL
1,"Arts, Design, Entertainment, Sports, and Media",3,255,8%,0.083893632,2221,26474,255,AL
1,Healthcare Practitioners and Technical,3,1241,6%,0.063296139,7692,121524,1241,AL
1,Healthcare Support,3,444,7%,0.073939012,3751,50731,444,AL
1,Protective Service,3,389,10%,0.095277144,3718,39023,389,AL
1,Food Preparation and Serving Related,3,865,7%,0.072407879,7642,105541,865,AL
1,"Building and Grounds, Cleaning and Maintenance",3,716,10%,0.095713425,7623,79644,716,AL
1,Personal Care and Service,3,528,8%,0.07717797,4239,54925,528,AL
1,Sales and Related,3,2008,6%,0.064723397,13760,212597,2008,AL
1,Office and Administrative Support,3,2612,7%,0.0709505,18159,255939,2612,AL
1,"Farming, Fishing, and Forestry",3,112,8%,0.084630487,1207,14262,112,AL
1,Construction and Extraction,3,901,7%,0.068205865,7220,105856,901,AL
1,"Installation, Maintenance, and Repair",3,820,8%,0.080868272,6799,84075,820,AL
1,Production,3,1643,7%,0.066582299,12101,181745,1643,AL
1,Transportation and Material Moving,3,1282,8%,0.077167415,10908,141355,1282,AL
1,Military Specific,3,42,8%,0.081711312,424,5189,42,AL
2,Management,3,272,8%,0.077933957,2556,32797,272,AK
2,Business and Financial Operations,3,104,4%,0.041676927,677,16244,104,AK
2,Computer and Mathematical,3,30,9%,0.090389016,553,6118,30,AK
2,Architecture and Engineering,3,70,2%,0.019151847,182,9503,70,AK
2,"Life, Physical, and Social Science",3,33,8%,0.079327399,401,5055,33,AK
2,Community and Social Services,3,79,9%,0.08936438,994,11123,79,AK
2,Legal,3,35,0%,0,0,4749,35,AK
2,"Education, Training, and Library",3,188,1%,0.014751861,335,22709,188,AK
2,"Arts, Design, Entertainment, Sports, and Media",3,33,5%,0.054506335,228,4183,33,AK
2,Healthcare Practitioners and Technical,3,122,7%,0.071375386,1342,18802,122,AK
2,Healthcare Support,3,71,6%,0.059293804,534,9006,71,AK
2,Protective Service,3,86,4%,0.041661067,310,7441,86,AK
2,Food Preparation and Serving Related,3,119,2%,0.022380351,390,17426,119,AK
2,"Building and Grounds, Cleaning and Maintenance",3,101,16%,0.15729276,1499,9530,101,AK
2,Personal Care and Service,3,111,14%,0.143220048,2086,14565,111,AK
2,Sales and Related,3,239,9%,0.090637959,3191,35206,239,AK
2,Office and Administrative Support,3,408,10%,0.095719527,4696,49060,408,AK
2,"Farming, Fishing, and Forestry",3,52,7%,0.07117198,317,4454,52,AK
2,Construction and Extraction,3,234,3%,0.034256218,1022,29834,234,AK
2,"Installation, Maintenance, and Repair",3,134,7%,0.069353643,1029,14837,134,AK
2,Production,3,131,7%,0.065441036,687,10498,131,AK
2,Transportation and Material Moving,3,199,8%,0.078028239,2205,28259,199,AK
2,Military Specific,3,67,4%,0.0374677,348,9288,67,AK
4,Management,3,2777,4%,0.040991518,10787,263152,2777,AZ
4,Business and Financial Operations,3,1367,5%,0.051417667,6844,133106,1367,AZ
4,Computer and Mathematical,3,815,3%,0.034361929,2785,81049,815,AZ
4,Architecture and Engineering,3,663,3%,0.029134101,1793,61543,663,AZ
4,"Life, Physical, and Social Science",3,211,3%,0.030052083,577,19200,211,AZ
4,Community and Social Services,3,502,5%,0.048870796,2389,48884,502,AZ
4,Legal,3,284,4%,0.040681103,1099,27015,284,AZ
4,"Education, Training, and Library",3,1712,5%,0.045945284,7124,155054,1712,AZ
4,"Arts, Design, Entertainment, Sports, and Media",3,497,4%,0.043094413,2138,49612,497,AZ
4,Healthcare Practitioners and Technical,3,1528,5%,0.05389603,8038,149139,1528,AZ
4,Healthcare Support,3,538,6%,0.057345807,3310,57720,538,AZ
4,Protective Service,3,796,5%,0.047412267,4018,84746,796,AZ
4,Food Preparation and Serving Related,3,1338,6%,0.055745214,9128,163745,1338,AZ
4,"Building and Grounds, Cleaning and Maintenance",3,1132,6%,0.059603502,7871,132056,1132,AZ
4,Personal Care and Service,3,1059,6%,0.058569313,6722,114770,1059,AZ
4,Sales and Related,3,2998,5%,0.050468184,16773,332348,2998,AZ
4,Office and Administrative Support,3,3769,6%,0.06408142,24556,383200,3769,AZ
4,"Farming, Fishing, and Forestry",3,187,4%,0.041520166,803,19340,187,AZ
4,Construction and Extraction,3,1272,7%,0.065296851,9486,145275,1272,AZ
4,"Installation, Maintenance, and Repair",3,940,7%,0.071691264,7505,104685,940,AZ
4,Production,3,1012,7%,0.073764419,8064,109321,1012,AZ
4,Transportation and Material Moving,3,1333,8%,0.077238155,10937,141601,1333,AZ
4,Military Specific,3,92,4%,0.044659909,304,6807,92,AZ
5,Management,3,1073,6%,0.05691263,6286,110450,1073,AR
5,Business and Financial Operations,3,416,5%,0.050088261,2043,40788,416,AR
5,Computer and Mathematical,3,215,3%,0.03240378,703,21695,215,AR
5,Architecture and Engineering,3,117,3%,0.032611381,396,12143,117,AR
5,"Life, Physical, and Social Science",3,71,2%,0.024409144,189,7743,71,AR
5,Community and Social Services,3,230,8%,0.080630135,1904,23614,230,AR
5,Legal,3,87,6%,0.057731724,507,8782,87,AR
5,"Education, Training, and Library",3,836,5%,0.048402333,4099,84686,836,AR
5,"Arts, Design, Entertainment, Sports, and Media",3,125,6%,0.063314069,734,11593,125,AR
5,Healthcare Practitioners and Technical,3,745,5%,0.053621849,4235,78979,745,AR
5,Healthcare Support,3,294,11%,0.107141722,3371,31463,294,AR
5,Protective Service,3,214,6%,0.060018553,1294,21560,214,AR
5,Food Preparation and Serving Related,3,511,9%,0.09205247,5621,61063,511,AR
5,"Building and Grounds, Cleaning and Maintenance",3,458,11%,0.108925984,5788,53137,458,AR
5,Personal Care and Service,3,361,14%,0.142838696,5531,38722,361,AR
5,Sales and Related,3,1248,5%,0.053392796,6896,129156,1248,AR
5,Office and Administrative Support,3,1684,7%,0.071025119,12147,171024,1684,AR
5,"Farming, Fishing, and Forestry",3,152,11%,0.109611777,1519,13858,152,AR
5,Construction and Extraction,3,598,7%,0.065011294,4231,65081,598,AR
5,"Installation, Maintenance, and Repair",3,476,8%,0.075676452,3689,48747,476,AR
5,Production,3,1046,8%,0.080987307,9430,116438,1046,AR
5,Transportation and Material Moving,3,809,10%,0.098501399,8341,84679,809,AR
5,Military Specific,3,19,0%,0,0,1279,19,AR
6,Management,3,17281,4%,0.035321195,61525,1741872,17281,CA
6,Business and Financial Operations,3,8784,4%,0.037480539,32283,861327,8784,CA
6,Computer and Mathematical,3,5218,3%,0.028815001,14906,517300,5218,CA
6,Architecture and Engineering,3,3969,3%,0.029678758,11214,377846,3969,CA
6,"Life, Physical, and Social Science",3,1816,3%,0.030465087,5127,168291,1816,CA
6,Community and Social Services,3,2568,6%,0.058952816,14833,251608,2568,CA
6,Legal,3,2265,5%,0.046489276,10109,217448,2265,CA
6,"Education, Training, and Library",3,9746,4%,0.040861203,37796,924985,9746,CA
6,"Arts, Design, Entertainment, Sports, and Media",3,4667,4%,0.036748283,17506,476376,4667,CA
6,Healthcare Practitioners and Technical,3,8295,4%,0.03542198,28971,817882,8295,CA
6,Healthcare Support,3,3207,5%,0.048709697,17118,351429,3207,CA
6,Protective Service,3,3336,4%,0.04291808,15213,354466,3336,CA
6,Food Preparation and Serving Related,3,8045,4%,0.040957106,39828,972432,8045,CA
6,"Building and Grounds, Cleaning and Maintenance",3,6375,7%,0.066632161,49563,743830,6375,CA
6,Personal Care and Service,3,7434,6%,0.061615163,48866,793084,7434,CA
6,Sales and Related,3,16962,4%,0.041545959,78001,1877463,16962,CA
6,Office and Administrative Support,3,21259,5%,0.048105464,105538,2193888,21259,CA
6,"Farming, Fishing, and Forestry",3,2278,4%,0.042018764,11367,270522,2278,CA
6,Construction and Extraction,3,6931,4%,0.042007125,34856,829764,6931,CA
6,"Installation, Maintenance, and Repair",3,4605,6%,0.057638266,28920,501750,4605,CA
6,Production,3,8412,5%,0.051501799,46471,902318,8412,CA
6,Transportation and Material Moving,3,8775,5%,0.050116772,49850,994677,8775,CA
6,Military Specific,3,682,3%,0.027963416,1703,60901,682,CA
8,Management,3,3115,5%,0.051105234,15400,301339,3115,CO
8,Business and Financial Operations,3,1489,4%,0.039433515,5761,146094,1489,CO
8,Computer and Mathematical,3,1027,4%,0.035143739,3588,102095,1027,CO
8,Architecture and Engineering,3,657,3%,0.026879733,1672,62203,657,CO
8,"Life, Physical, and Social Science",3,306,4%,0.041569611,1160,27905,306,CO
8,Community and Social Services,3,422,6%,0.060008414,2425,40411,422,CO
8,Legal,3,276,3%,0.032122024,815,25372,276,CO
8,"Education, Training, and Library",3,1604,3%,0.033344561,4851,145481,1604,CO
8,"Arts, Design, Entertainment, Sports, and Media",3,586,3%,0.03259765,2053,62980,586,CO
8,Healthcare Practitioners and Technical,3,1322,4%,0.037562104,4695,124993,1322,CO
8,Healthcare Support,3,541,5%,0.054214789,3300,60869,541,CO
8,Protective Service,3,543,5%,0.050954502,2848,55893,543,CO
8,Food Preparation and Serving Related,3,1188,7%,0.065046536,9973,153321,1188,CO
8,"Building and Grounds, Cleaning and Maintenance",3,816,11%,0.110768295,10196,92048,816,CO
8,Personal Care and Service,3,873,6%,0.0611718,5639,92183,873,CO
8,Sales and Related,3,2700,6%,0.059911833,17124,285820,2700,CO
8,Office and Administrative Support,3,3258,7%,0.066803151,22156,331661,3258,CO
8,"Farming, Fishing, and Forestry",3,139,11%,0.107448912,1467,13653,139,CO
8,Construction and Extraction,3,1205,7%,0.070614108,10243,145056,1205,CO
8,"Installation, Maintenance, and Repair",3,759,8%,0.081918528,6427,78456,759,CO
8,Production,3,952,7%,0.067171867,6586,98047,952,CO
8,Transportation and Material Moving,3,1209,7%,0.07254909,10179,140305,1209,CO
8,Military Specific,3,238,10%,0.099131503,2260,22798,238,CO
9,Management,3,2035,5%,0.052163027,9750,186914,2035,CT
9,Business and Financial Operations,3,1085,3%,0.032255212,3283,101782,1085,CT
9,Computer and Mathematical,3,553,3%,0.031145241,1598,51308,553,CT
9,Architecture and Engineering,3,409,3%,0.026386703,989,37481,409,CT
9,"Life, Physical, and Social Science",3,190,4%,0.03643702,650,17839,190,CT
9,Community and Social Services,3,347,6%,0.061921151,2213,35739,347,CT
9,Legal,3,265,5%,0.047353167,1111,23462,265,CT
9,"Education, Training, and Library",3,1437,5%,0.048535168,6249,128752,1437,CT
9,"Arts, Design, Entertainment, Sports, and Media",3,410,4%,0.035170947,1290,36678,410,CT
9,Healthcare Practitioners and Technical,3,1131,4%,0.03653949,3827,104736,1131,CT
9,Healthcare Support,3,475,4%,0.036633972,2114,57706,475,CT
9,Protective Service,3,369,4%,0.042289552,1587,37527,369,CT
9,Food Preparation and Serving Related,3,707,5%,0.051094377,4356,85254,707,CT
9,"Building and Grounds, Cleaning and Maintenance",3,640,9%,0.086072232,6623,76947,640,CT
9,Personal Care and Service,3,663,6%,0.060310521,4304,71364,663,CT
9,Sales and Related,3,1841,5%,0.049414715,9418,190591,1841,CT
9,Office and Administrative Support,3,2198,5%,0.051148597,11213,219224,2198,CT
9,"Farming, Fishing, and Forestry",3,47,8%,0.082346198,431,5234,47,CT
9,Construction and Extraction,3,720,5%,0.047702924,3954,82888,720,CT
9,"Installation, Maintenance, and Repair",3,418,6%,0.059102202,2807,47494,418,CT
9,Production,3,842,9%,0.089748849,7658,85327,842,CT
9,Transportation and Material Moving,3,656,7%,0.073740321,5409,73352,656,CT
9,Military Specific,3,58,0%,0,0,6557,58,CT
10,Management,3,473,4%,0.038206336,1785,46720,473,DE
10,Business and Financial Operations,3,221,5%,0.051480226,1139,22125,221,DE
