FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
26,Healthcare Practitioners and Technical,3,2655,4%,0.039637514,10550,266162,2655,MI
26,Healthcare Support,3,1198,6%,0.063781321,8372,131261,1198,MI
26,Protective Service,3,692,5%,0.052524271,3890,74061,692,MI
26,Food Preparation and Serving Related,3,2193,6%,0.061077724,15143,247930,2193,MI
26,"Building and Grounds, Cleaning and Maintenance",3,1584,12%,0.115157952,18759,162898,1584,MI
26,Personal Care and Service,3,1528,7%,0.071733492,11477,159995,1528,MI
26,Sales and Related,3,4250,6%,0.057390621,26274,457810,4250,MI
26,Office and Administrative Support,3,5793,7%,0.067850156,39711,585275,5793,MI
26,"Farming, Fishing, and Forestry",3,259,8%,0.083862173,1784,21273,259,MI
26,Construction and Extraction,3,1750,7%,0.073923587,12681,171542,1750,MI
26,"Installation, Maintenance, and Repair",3,1392,8%,0.081975541,10973,133857,1392,MI
26,Production,3,4101,8%,0.082730967,35652,430939,4101,MI
26,Transportation and Material Moving,3,2482,8%,0.080869512,19866,245655,2482,MI
26,Military Specific,3,18,12%,0.115846339,193,1666,18,MI
27,Management,3,3301,5%,0.046157096,13764,298199,3301,MN
27,Business and Financial Operations,3,1320,3%,0.031224924,4942,158271,1320,MN
27,Computer and Mathematical,3,668,3%,0.033168536,3227,97291,668,MN
27,Architecture and Engineering,3,492,3%,0.026699562,1580,59177,492,MN
27,"Life, Physical, and Social Science",3,257,3%,0.026263977,707,26919,257,MN
27,Community and Social Services,3,559,7%,0.069564278,3862,55517,559,MN
27,Legal,3,221,5%,0.045383469,1248,27499,221,MN
27,"Education, Training, and Library",3,1521,3%,0.028176119,4189,148672,1521,MN
27,"Arts, Design, Entertainment, Sports, and Media",3,447,7%,0.070780537,3737,52797,447,MN
27,Healthcare Practitioners and Technical,3,1676,4%,0.03760317,5941,157992,1676,MN
27,Healthcare Support,3,672,4%,0.037046239,2833,76472,672,MN
27,Protective Service,3,349,3%,0.026330055,1020,38739,349,MN
27,Food Preparation and Serving Related,3,1141,6%,0.057874642,7746,133841,1141,MN
27,"Building and Grounds, Cleaning and Maintenance",3,964,10%,0.100642903,9831,97682,964,MN
27,Personal Care and Service,3,1069,5%,0.054839474,6250,113969,1069,MN
27,Sales and Related,3,2478,6%,0.057930293,16267,280803,2478,MN
27,Office and Administrative Support,3,3694,6%,0.057477956,21720,377884,3694,MN
27,"Farming, Fishing, and Forestry",3,289,7%,0.073750141,1307,17722,289,MN
27,Construction and Extraction,3,1367,6%,0.062033314,7128,114906,1367,MN
27,"Installation, Maintenance, and Repair",3,906,6%,0.060827661,5049,83005,906,MN
27,Production,3,2060,9%,0.085236726,16599,194740,2060,MN
27,Transportation and Material Moving,3,1820,8%,0.08210819,13940,169776,1820,MN
27,Military Specific,3,8,0%,0,0,797,8,MN
28,Management,3,966,7%,0.067317025,6797,100970,966,MS
28,Business and Financial Operations,3,393,6%,0.064775699,2576,39768,393,MS
28,Computer and Mathematical,3,129,8%,0.084745763,1100,12980,129,MS
28,Architecture and Engineering,3,149,5%,0.046848,732,15625,149,MS
28,"Life, Physical, and Social Science",3,72,4%,0.041393383,284,6861,72,MS
28,Community and Social Services,3,201,15%,0.153849922,3141,20416,201,MS
28,Legal,3,102,3%,0.030556191,267,8738,102,MS
28,"Education, Training, and Library",3,818,5%,0.05465886,4294,78560,818,MS
28,"Arts, Design, Entertainment, Sports, and Media",3,126,9%,0.089907019,1199,13336,126,MS
28,Healthcare Practitioners and Technical,3,742,4%,0.03914152,2794,71382,742,MS
