city1,city2,dist,vol,avg_fare,largest_carrier,mkt_share,avg_fare_largest_carrier,lowest_fare_carrier,mkt_share_lowest_fare,avg_fare_lowest_carrier
GNV,SFO,2356,33.70,$336.15,DL,48.1,$333.74,US,34.5,$312.33
GNV,SJC,2331,3.91,$406.07,DL,69.4,$437.36,UA,11.1,$240.25
GNV,SNA,2105,4.35,$415.06,DL,70.0,$415.58,UA,10.0,$309.75
GPT,BUR,1728,0.43,$300.25,UA,100.0,$300.25,UA,100.0,$300.25
GPT,FLL,620,13.04,$274.11,DL,60.0,$290.09,UA,10.0,$220.47
GPT,LAX,1731,28.26,$338.15,UA,43.5,$309.19,UA,43.5,$309.19
GPT,MIA,623,8.15,$279.46,DL,76.0,$262.06,US,14.7,$241.82
GPT,OAK,1956,0.33,$486.06,US,33.3,$499.17,US,33.3,$499.17
GPT,ONT,1684,4.57,$273.72,UA,57.1,$268.21,UA,57.1,$268.21
GPT,ORF,865,24.46,$284.43,DL,73.3,$279.39,DL,73.3,$279.39
GPT,PHF,858,5.43,$269.09,US,54.0,$254.79,US,54.0,$254.79
GPT,SFO,1964,24.02,$301.26,UA,60.6,$281.18,UA,60.6,$281.18
GPT,SJC,1938,5.22,$349.49,AA,43.8,$314.99,AA,43.8,$314.99
GPT,SNA,1700,10.65,$287.47,UA,54.1,$290.36,AA,31.6,$273.06
GPT,TPA,429,16.63,$225.41,DL,90.2,$228.01,DL,90.2,$228.01
GRB,BUR,1755,0.65,$293.17,UA,83.3,$304.04,US,16.7,$238.78
GRB,FLL,1345,16.52,$266.71,DL,75.0,$272.74,AA,16.5,$226.00
GRB,LAX,1767,28.91,$373.87,DL,44.4,$396.53,UA,27.1,$315.79
GRB,MIA,1361,7.83,$349.61,AA,58.3,$341.04,AA,58.3,$341.04
GRB,OAK,1825,0.43,$437.50,DL,75.0,$451.20,DL,75.0,$451.20
GRB,ONT,1724,1.85,$484.41,UA,35.3,$526.50,DL,23.5,$430.50
GRB,SFO,1836,26.85,$348.38,DL,38.9,$353.26,AA,21.9,$288.52
GRB,SJC,1822,3.04,$395.61,DL,67.9,$411.56,AA,25.0,$348.29
GRB,SNA,1751,23.59,$305.57,DL,46.1,$363.17,AA,16.6,$230.98
GRB,TPA,1180,22.72,$275.72,DL,63.2,$302.52,AA,21.1,$221.29
GRK,FLL,1127,12.28,$177.27,AA,50.4,$176.08,UA,31.0,$170.82
GRK,LAX,1216,11.63,$280.00,AA,71.0,$280.55,AA,71.0,$280.55
GRK,MIA,1126,5.11,$215.95,AA,61.7,$235.39,UA,21.3,$165.62
GRK,ONT,1170,6.41,$305.55,AA,78.0,$299.73,UA,11.9,$289.70
GRK,SNA,1184,5.43,$218.03,AA,84.0,$216.88,AA,84.0,$216.88
GRK,TPA,945,14.24,$213.18,AA,58.0,$219.12,DL,13.7,$175.47
GRR,BUR,1863,3.91,$371.22,WN,44.4,$312.69,WN,44.4,$312.69
GRR,FLL,1198,100.87,$213.43,DL,41.2,$259.20,G4,34.3,$130.49
GRR,LAX,1874,150.43,$329.96,DL,34.5,$353.29,WN,13.7,$252.08
GRR,LGB,1865,0.33,$385.02,DL,66.7,$402.86,DL,66.7,$402.86
GRR,MIA,1214,39.13,$286.09,DL,58.3,$284.13,AA,29.2,$259.29
GRR,OAK,1955,5.65,$325.23,WN,63.5,$270.01,WN,63.5,$270.01
GRR,ONT,1830,15.33,$303.10,AA,41.8,$291.09,AA,41.8,$291.09
GRR,ORF,644,17.17,$255.24,DL,65.8,$263.92,UA,20.9,$224.56
GRR,PHF,621,0.43,$492.25,DL,100.0,$492.25,DL,100.0,$492.25
GRR,PIE,1044,88.70,$133.97,G4,100.0,$133.97,G4,100.0,$133.97
GRR,SFO,1966,126.52,$310.01,DL,41.9,$319.60,UA,37.5,$311.65
GRR,SJC,1950,21.20,$294.18,DL,44.1,$289.51,WN,24.6,$228.54
GRR,SNA,1856,48.26,$336.73,DL,37.6,$337.90,WN,10.8,$297.56
GRR,TPA,1041,115.54,$224.02,DL,50.1,$242.15,FL,11.9,$188.37
GSO,BUR,2165,1.52,$416.64,US,64.3,$402.37,US,64.3,$402.37
GSO,FLL,691,59.78,$210.94,DL,53.8,$196.85,DL,53.8,$196.85
GSO,LAX,2172,97.28,$294.13,DL,34.0,$294.61,UA,28.5,$245.28
GSO,LGB,2160,0.54,$303.80,US,60.0,$347.33,DL,40.0,$238.50
GSO,MIA,710,120.54,$176.67,AA,53.1,$168.18,AA,53.1,$168.18
GSO,OAK,2324,0.98,$432.67,DL,77.8,$447.34,US,11.1,$341.00
GSO,ONT,2126,10.11,$349.96,AA,53.8,$318.68,AA,53.8,$318.68
GSO,PIE,587,76.52,$86.50,G4,100.0,$86.50,G4,100.0,$86.50
GSO,SFO,2334,73.15,$339.01,UA,39.4,$338.96,DL,29.0,$330.50
GSO,SJC,2313,8.26,$348.62,DL,39.5,$281.05,DL,39.5,$281.05
GSO,SNA,2147,27.72,$347.72,DL,57.7,$343.47,AA,15.7,$330.13
GSO,TPA,580,74.89,$200.00,US,55.4,$199.59,DL,41.2,$199.32
GSP,BUR,2050,1.09,$417.15,US,60.0,$432.67,WN,10.0,$344.00
GSP,FLL,620,113.80,$146.58,G4,67.7,$98.46,G4,67.7,$98.46
GSP,LAX,2057,78.59,$329.06,DL,31.4,$379.41,WN,24.8,$269.53
GSP,LGB,2044,0.43,$310.00,DL,75.0,$285.22,DL,75.0,$285.22
GSP,MIA,637,20.43,$272.69,US,50.5,$253.22,US,50.5,$253.22
GSP,OAK,2224,6.41,$312.98,WN,88.1,$314.17,DL,10.2,$284.50
GSP,ONT,2010,8.59,$316.22,WN,34.2,$227.25,WN,34.2,$227.25
GSP,ORF,365,9.46,$241.57,US,56.3,$243.18,US,56.3,$243.18
GSP,PHF,356,2.28,$249.85,US,90.5,$248.84,US,90.5,$248.84
GSP,PIE,482,80.00,$84.57,G4,100.0,$84.57,G4,100.0,$84.57
GSP,SFO,2233,54.35,$343.03,DL,34.8,$372.01,US,25.6,$324.02
